model,fold,n_train,n_test,auc,accuracy,f1
LogisticRegression,1,86,82,0.49516908212560384,0.5,0.616822429906542
LogisticRegression,2,168,82,0.5507598784194528,0.5609756097560976,0.6842105263157895
LogisticRegression,3,250,82,0.5,0.524390243902439,0.6285714285714286
LogisticRegression,4,332,82,0.4046844502277163,0.5365853658536586,0.6724137931034483
LogisticRegression,5,414,82,0.5269016697588126,0.5853658536585366,0.7166666666666667
XGBoost,1,86,82,0.6316425120772947,0.6097560975609756,0.673469387755102
XGBoost,2,168,82,0.4936170212765958,0.5487804878048781,0.6105263157894737
XGBoost,3,250,82,0.555622009569378,0.5609756097560976,0.625
XGBoost,4,332,82,0.4079375406636304,0.45121951219512196,0.5794392523364486
XGBoost,5,414,82,0.4879406307977736,0.5609756097560976,0.6538461538461539
