date,pred_up,pred_prob,spy_return,strategy_return,strategy_equity,bnh_equity
2024-11-15,1,0.5464655214543862,-0.0128087102622347,-0.0128087102622347,9871.912897377653,9871.912897377653
2024-11-18,1,0.6457416623320538,0.0040973821408656,0.0040973821408656,9912.36189697955,9912.36189697955
2024-11-19,1,0.5869656594543639,0.0036555887377105,0.0036555887377105,9948.59741549426,9948.59741549426
2024-11-20,1,0.5966570485528842,0.000338799059951,0.000338799059951,9951.96799094646,9951.96799094646
2024-11-21,1,0.6290551098019472,0.0053682358092956,0.0053682358092956,10005.392501888424,10005.392501888424
2024-11-22,1,0.5723778251418766,0.0030995930279773,0.0030995930279773,10036.405146729454,10036.405146729454
2024-11-25,1,0.6353115028667515,0.0033919432583979,0.0033919432583979,10070.448063505455,10070.448063505455
2024-11-26,1,0.5965963760122481,0.0052213769412632,0.0052213769412632,10123.02966881243,10123.02966881243
2024-11-27,1,0.703008233414479,-0.0030300601119489,-0.0030300601119489,10092.356280400887,10092.356280400887
2024-11-29,1,0.6252166084709216,0.0062121692989396,0.0062121692989396,10155.051706239954,10155.051706239954
2024-12-02,1,0.6227986632247903,0.0017922586428635,0.0017922586428635,10173.25218542919,10173.25218542919
2024-12-03,1,0.6223167347493749,0.0004639884542216,0.0004639884542216,10177.972456985113,10177.972456985113
2024-12-04,1,0.6442945868058539,0.0062095002122883,0.0062095002122883,10241.172579117429,10241.172579117429
2024-12-05,1,0.6653073129854913,-0.0016456003578503,-0.0016456003578503,10224.319701856426,10224.319701856426
2024-12-06,1,0.5669870013982548,0.0018956365539355,0.0018956365539355,10243.701296022387,10243.701296022387
2024-12-09,1,0.518646265877918,-0.0051496262920319,-0.0051496262920319,10190.95006250067,10190.95006250067
2024-12-10,1,0.5527886571465251,-0.0031092216198632,-0.0031092216198632,10159.264140239397,10159.264140239397
2024-12-11,1,0.6535746681875093,0.0077306645778363,0.0077306645778363,10237.802003665229,10237.802003665229
2024-12-12,1,0.6459458674123989,-0.0051525936429355,-0.0051525936429355,10185.05077014351,10185.05077014351
2024-12-13,1,0.6390011508002658,-0.0001985190336163,-0.0001985190336163,10183.028843707289,10183.028843707289
2024-12-16,1,0.5207888169063808,0.0042698807291978,0.0042698807291978,10226.5091623319,10226.5091623319
2024-12-17,1,0.5074436470796122,-0.0041198486149918,-0.0041198486149918,10184.377492723266,10184.377492723266
2024-12-18,1,0.5622066241442691,-0.0298036762685907,-0.0298036762685907,9880.845602933021,9880.845602933021
2024-12-19,1,0.5616898061171814,-0.0003071053235615,-0.0003071053235615,9877.811142647071,9877.811142647071
2024-12-20,1,0.645892406767772,0.0120112101377161,0.0120112101377161,9996.455607982078,9996.455607982078
2024-12-23,1,0.5876216605451725,0.0059882183905939,0.0059882183905939,10056.316567294552,10056.316567294552
2024-12-24,1,0.7056033911987724,0.0111149613258196,0.0111149613258196,10168.09213702023,10168.09213702023
2024-12-26,1,0.6399197092491621,6.652365796511184e-05,6.652365796511184e-05,10168.768555703711,10168.768555703711
2024-12-27,1,0.5457159925418714,-0.0105264111730892,-0.0105264111730892,10061.727916762393,10061.727916762393
2024-12-30,0,0.43857571012900065,-0.0114116086062908,-0.0,10061.727916762393,9946.907415873311
